"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 02, 1990","399.60","399.60","399.60","399.60","0.21K","-0.72%"
"Jan 03, 1990","394.00","393.00","394.00","393.00","0.51K","-1.40%"
"Jan 04, 1990","398.60","398.60","398.60","398.60","-","1.17%"
"Jan 05, 1990","406.30","406.30","406.30","406.30","0.00K","1.93%"
"Jan 08, 1990","403.00","404.70","404.70","403.00","0.03K","-0.81%"
"Jan 09, 1990","404.20","404.20","404.20","404.20","-","0.30%"
"Jan 10, 1990","412.40","412.30","412.40","412.30","0.46K","2.03%"
"Jan 11, 1990","414.00","412.00","414.00","412.00","0.01K","0.39%"
"Jan 12, 1990","413.20","413.20","413.20","413.20","-","-0.19%"
"Jan 15, 1990","413.70","411.50","413.70","411.50","0.03K","0.12%"
"Jan 16, 1990","410.80","412.00","412.00","410.80","0.02K","-0.70%"
"Jan 17, 1990","412.50","412.50","412.50","412.50","0.03K","0.41%"
"Jan 18, 1990","410.20","410.20","410.20","410.20","-","-0.56%"
"Jan 19, 1990","410.00","410.00","410.00","410.00","-","-0.05%"
"Jan 22, 1990","407.20","407.20","407.20","407.20","-","-0.68%"
"Jan 23, 1990","413.00","408.80","415.00","408.00","-","1.42%"
"Jan 24, 1990","417.20","421.50","422.00","417.20","0.03K","1.02%"
"Jan 25, 1990","416.00","416.00","416.00","416.00","-","-0.29%"
"Jan 26, 1990","420.10","420.10","420.10","420.10","-","0.99%"
"Jan 29, 1990","419.10","419.00","419.10","419.00","0.03K","-0.24%"
"Jan 30, 1990","418.10","418.70","421.50","416.80","20.81K","-0.24%"
"Jan 31, 1990","412.40","414.50","416.50","411.80","4.86K","-1.36%"
"Feb 01, 1990","418.00","413.00","418.30","413.00","1.93K","1.36%"
"Feb 02, 1990","418.20","418.50","419.00","416.30","1.12K","0.05%"
"Feb 05, 1990","422.40","419.30","425.00","419.30","0.93K","1.00%"
"Feb 06, 1990","421.30","422.00","422.00","420.60","0.40K","-0.26%"
"Feb 07, 1990","418.10","420.00","425.00","417.20","0.95K","-0.76%"
"Feb 08, 1990","418.70","418.00","419.20","416.20","0.12K","0.14%"
"Feb 09, 1990","416.10","417.20","417.30","415.90","0.14K","-0.62%"
"Feb 12, 1990","419.20","415.70","421.00","415.70","0.20K","0.75%"
"Feb 13, 1990","417.60","420.20","420.50","417.50","0.30K","-0.38%"
"Feb 14, 1990","416.70","416.00","416.80","414.50","0.70K","-0.22%"
"Feb 15, 1990","412.40","417.60","417.60","412.00","0.60K","-1.03%"
"Feb 16, 1990","417.10","413.80","417.70","413.80","0.23K","1.14%"
"Feb 20, 1990","419.90","419.50","420.00","418.00","0.13K","0.67%"
"Feb 21, 1990","418.00","421.00","421.90","418.00","0.59K","-0.45%"
"Feb 22, 1990","415.70","417.90","418.50","415.30","0.41K","-0.55%"
"Feb 23, 1990","415.00","415.50","417.40","415.00","0.43K","-0.17%"
"Feb 26, 1990","408.60","413.00","413.00","405.70","0.54K","-1.54%"
"Feb 27, 1990","408.00","409.00","409.00","408.00","0.04K","-0.15%"
"Feb 28, 1990","406.10","406.00","406.10","405.50","0.20K","-0.47%"
"Mar 01, 1990","406.20","406.20","406.20","406.20","-","0.02%"
"Mar 02, 1990","403.00","402.50","403.00","402.50","0.00K","-0.79%"
"Mar 05, 1990","404.10","404.00","404.10","404.00","0.00K","0.27%"
"Mar 06, 1990","403.60","403.60","403.60","403.60","-","-0.12%"
"Mar 07, 1990","400.20","400.50","400.50","400.20","0.05K","-0.84%"
"Mar 08, 1990","400.00","400.00","400.00","400.00","0.00K","-0.05%"
"Mar 09, 1990","399.80","398.00","399.80","398.00","0.00K","-0.05%"
"Mar 12, 1990","399.80","398.00","399.80","398.00","0.01K","0.00%"
